TrainSize,Repetitions
10,20
20,20
30,20
40,19
50,18
60,16
70,14
80,13
90,13
100,12
110,11
120,10
130,10
140,9
150,9
160,8
170,8
180,7
190,7
200,7
210,6
220,6
230,6
240,5
250,5
260,5
270,5
280,5
290,4
300,4
310,4
320,4
330,4
340,4
350,3
360,3
370,3
380,3
390,3
400,3
410,3
420,3
430,3
440,2
450,2
460,2
470,2
480,2
490,2
500,2
510,2
520,2
530,2
540,2
550,2
560,2
570,2
580,2
590,2
600,2
610,2
620,2
630,2
640,2
650,2
660,2
670,1
680,1
690,1
700,1
710,1
720,1
730,1
740,1
750,1
760,1
770,1
780,1
790,1
800,1
810,1
820,1
830,1
840,1
850,1
860,1
870,1
880,1
890,1
900,1
910,1
920,1
930,1
940,1
950,1
960,1
970,1
980,1
990,1
1000,1
